"team_api_id","team_name","goals","build_up","chance_creation","defense"
1601,"Ruch Chorzów",280,139,186,175
1773,"Oud-Heverlee Leuven",126,153,157,137
1957,"Jagiellonia Bialystok",287,158,163,210
2033,"S.C. Olhanense",138,147,165,155
2182,"Lech Poznan",372,176,196,160
2183,"P. Warszawa",184,80,180,175
2186,"Cracovia",235,125,168,205
4049,"Tubize",35,0,0,0
4064,"Feirense",27,0,0,0
4087,"Évian Thonon Gaillard FC",180,156,180,165
4170,"US Boulogne Cote D'Opale",31,86,165,200
6269,"Novara",34,179,172,151
6351,"KAS Eupen",28,105,160,155
6367,"Uniao da Madeira",27,0,0,0
6391,"GFC Ajaccio",37,153,179,146
6403,"FC Paços de Ferreira",292,142,170,150
6413,"PEC Zwolle",204,137,165,181
6421,"Leixões SC",55,60,165,90
6433,"Go Ahead Eagles",74,160,132,141
6493,"AC Bellinzona",128,101,175,150
6547,"FC Penafiel",29,147,146,121
6601,"FC Volendam",38,0,0,0
6631,"FC Dordrecht",24,134,176,164
7730,"FC Lausanne-Sports",99,141,164,165
7788,"SC Cambuur",119,136,159,138
7794,"SC Bastia",165,174,156,210
7819,"SM Caen",220,157,165,205
7841,"Rio Ave FC",248,157,180,153
7842,"Estoril Praia",167,174,139,150
7844,"Vitória Guimarães",300,131,179,177
7869,"Córdoba CF",22,146,171,129
7878,"Granada CF",179,166,200,170
7896,"Lugano",46,0,0,0
7943,"Sassuolo",141,188,186,138
7947,"FCV Dender EH",44,0,0,0
7955,"Neuchâtel Xamax",171,105,190,150
7992,"Trofense",25,0,0,0
8019,"Górnik Leczna",61,140,139,149
8020,"Polonia Bytom",245,84,150,185
8021,"Zaglebie Lubin",207,133,192,210
8023,"Pogon Szczecin",152,134,185,158
8024,"Widzew Lódz",122,190,185,158
8025,"Slask Wroclaw",318,140,165,180
8027,"Zawisza Bydgoszcz",75,145,168,143
8028,"Piast Gliwice",204,183,169,195
8030,"Lechia Gdansk",279,162,183,205
8031,"Polonia Bytom",88,84,150,185
8033,"Podbeskidzie Bielsko-Biala",169,193,166,152
8066,"Inverness Caledonian Thistle",345,169,174,139
8121,"Angers SCO",40,159,180,140
8152,"FC St. Pauli",35,161,190,185
8165,"1. FC Nürnberg",193,153,180,162
8177,"Hertha BSC Berlin",238,175,172,155
8178,"Bayer 04 Leverkusen",483,157,210,200
8191,"Burnley",70,154,210,205
8194,"Fortuna Düsseldorf",39,198,190,169
8197,"Leicester City",114,164,185,210
8203,"KV Mechelen",285,134,150,190
8226,"TSG 1899 Hoffenheim",400,180,191,200
8234,"FC Ingolstadt 04",33,160,151,140
8242,"Odra Wodzislaw",50,75,155,205
8244,"Widzew Lódz",50,190,185,158
8245,"Korona Kielce",237,192,169,172
8262,"SV Darmstadt 98",38,179,174,129
8277,"Vitesse",423,145,173,180
8284,"Dundee FC",127,142,158,154
8295,"Karlsruher SC",30,164,205,170
8302,"Sevilla FC",478,183,206,195
8305,"Getafe CF",345,117,155,164
8306,"UD Las Palmas",45,147,187,171
8315,"Athletic Club de Bilbao",415,139,184,170
8322,"Arka Gdynia",77,83,150,205
8342,"Club Brugge KV",421,139,170,200
8344,"Cardiff City",32,168,210,210
8348,"Moreirense FC",101,139,144,138
8350,"1. FC Kaiserslautern",72,167,185,210
8357,"SpVgg Greuther Fürth",26,167,170,170
8358,"SC Freiburg",245,151,160,158
8370,"Rayo Vallecano",247,141,161,178
8371,"CA Osasuna",232,143,193,177
8372,"SD Eibar",83,165,179,142
8388,"CD Numancia",38,137,160,158
8394,"Real Zaragoza",159,154,166,158
8398,"FC Energie Cottbus",30,126,175,206
8406,"FC Augsburg",201,169,188,161
8426,"Partick Thistle F.C.",135,143,160,143
8429,"Hamilton Academical FC",185,143,200,195
8455,"Chelsea",583,157,200,168
8456,"Manchester City",606,130,210,180
8457,"Dunfermline Athletic",40,115,168,148
8460,"SC Paderborn 07",31,175,168,145
8462,"Portsmouth",72,148,195,150
8464,"N.E.C.",310,150,158,146
8466,"Southampton",216,129,205,210
8467,"St. Johnstone FC",308,162,150,142
8472,"Sunderland",333,154,195,165
8475,"Waasland-Beveren",105,132,140,114
8479,"RC Recreativo",34,148,140,151
8481,"AS Nancy-Lorraine",203,146,172,210
8483,"Blackpool",55,183,205,210
8485,"Aberdeen",365,184,210,200
8521,"Stade Brestois 29",99,161,168,210
8524,"Atalanta",283,146,170,165
8525,"Willem II",222,150,166,153
8526,"De Graafschap",130,78,153,137
8528,"Wigan Athletic",200,144,190,165
8529,"Cagliari",309,167,196,187
8530,"Catania",251,175,178,147
8533,"Chievo Verona",285,187,170,165
8534,"Empoli",86,145,186,164
8535,"Fiorentina",440,121,172,184
8537,"Livorno",66,183,172,163
8540,"Palermo",351,168,165,152
8543,"Lazio",417,188,220,190
8548,"Rangers",324,153,210,200
8549,"Middlesbrough",28,144,190,147
8550,"FC Metz",31,152,175,150
8551,"Siena",149,144,183,160
8558,"RCD Espanyol",338,146,196,180
8559,"Bolton Wanderers",181,167,185,154
8560,"Real Sociedad",316,162,171,171
8564,"Milan",496,170,177,164
8569,"GKS Belchatów",190,143,175,200
8571,"KV Kortrijk",267,129,159,185
8573,"KV Oostende",102,155,140,133
8576,"AC Ajaccio",116,168,180,140
8581,"Levante UD",241,171,182,155
8583,"AJ Auxerre",168,168,164,145
8586,"Tottenham Hotspur",481,133,210,181
8588,"RC Lens",107,165,180,200
8592,"Olympique de Marseille",462,169,210,200
8593,"Ajax",647,117,199,193
8596,"Falkirk",68,140,200,200
8597,"Kilmarnock",346,167,205,200
8600,"Udinese",415,205,199,160
8602,"Wolverhampton Wanderers",118,140,210,210
8603,"Real Betis Balompié",225,145,206,165
8611,"FC Twente",509,131,172,197
8613,"Boavista FC",51,153,128,148
8614,"Sparta Rotterdam",76,75,140,90
8633,"Real Madrid CF",843,153,200,178
8634,"FC Barcelona",849,122,175,195
8635,"RSC Anderlecht",427,149,182,190
8636,"Inter",496,182,203,165
8639,"LOSC Lille",450,152,184,180
8640,"PSV",652,153,200,167
8649,"Ross County FC",192,153,153,143
8650,"Liverpool",531,171,180,172
8654,"West Ham United",326,184,171,140
8655,"Blackburn Rovers",175,185,185,160
8658,"Birmingham City",75,174,210,210
8659,"West Bromwich Albion",305,145,195,210
8661,"RCD Mallorca",238,172,163,156
8667,"Hull City",144,151,195,210
8668,"Everton",439,137,180,180
8673,"Legia Warszawa",409,141,170,195
8674,"FC Groningen",390,142,177,149
8678,"Bournemouth",45,140,200,210
8682,"Le Mans FC",79,115,195,200
8686,"Roma",530,153,208,155
8689,"FC Lorient",378,158,180,200
8690,"Reggio Calabria",30,163,186,140
8696,"Racing Santander",160,147,205,168
8697,"SV Werder Bremen",423,174,216,205
8721,"VfL Wolfsburg",463,170,210,171
8722,"1. FC Köln",226,171,165,170
9746,"Le Havre AC",30,154,180,168
9747,"En Avant de Guingamp",122,169,170,145
9748,"Olympique Lyonnais",497,161,185,200
9761,"NAC Breda",294,153,141,143
9764,"Gil Vicente FC",110,176,152,149
9765,"Portimonense",29,0,0,0
9768,"Sporting CP",411,178,204,174
9771,"União de Leiria; SAD",85,100,150,154
9772,"SL Benfica",568,178,185,175
9773,"FC Porto",541,173,196,178
9776,"Eintracht Braunschweig",29,183,195,157
9777,"Servette FC",77,99,175,170
9783,"RC Deportivo de La Coruña",241,157,187,154
9788,"Borussia Mönchengladbach",403,121,185,160
9789,"Borussia Dortmund",551,170,194,178
9790,"Hamburger SV",344,164,200,175
9791,"Heracles Almelo",403,147,173,169
9798,"Reading",43,144,210,200
9800,"St. Mirren",257,178,210,200
9803,"Roda JC Kerkrade",343,133,159,146
9804,"Torino",241,209,189,145
9807,"CF Os Belenenses",148,157,160,135
9809,"Naval 1° de Maio",71,115,165,121
9810,"Eintracht Frankfurt",296,153,165,151
9817,"Watford",40,160,205,205
9823,"FC Bayern Munich",653,105,205,184
9824,"FC Vaduz",100,141,137,133
9825,"Arsenal",573,140,150,170
9826,"Crystal Palace",119,173,205,185
9827,"Girondins de Bordeaux",404,139,190,195
9829,"AS Monaco",287,168,165,205
9830,"FC Nantes",135,189,160,152
9831,"OGC Nice",342,175,165,210
9836,"Dijon FCO",38,154,165,149
9837,"Stade de Reims",168,154,165,140
9839,"VVV-Venlo",152,100,164,155
9847,"Paris Saint-Germain",568,174,191,210
9850,"Norwich City",160,140,195,200
9851,"Stade Rennais FC",367,167,195,210
9853,"AS Saint-Étienne",371,165,175,148
9855,"Grenoble Foot 38",55,140,195,195
9857,"Bologna",263,164,175,135
9858,"Brescia",34,141,180,155
9860,"Heart of Midlothian",317,168,210,200
9864,"Málaga CF",377,129,191,164
9865,"UD Almería",202,152,180,193
9867,"CD Tenerife",40,163,180,174
9868,"Xerez Club Deportivo",38,104,159,165
9869,"Real Sporting de Gijón",200,153,185,195
9873,"Valenciennes FC",256,160,188,155
9874,"FC Sochaux-Montbéliard",246,164,184,165
9875,"Napoli",514,180,215,165
9876,"Hellas Verona",145,157,173,169
9878,"Pescara",27,152,180,145
9879,"Fulham",265,142,190,138
9880,"Cesena",98,143,170,145
9882,"Sampdoria",318,130,180,175
9885,"Juventus",543,115,195,169
9888,"Lecce",121,100,175,165
9891,"Frosinone",35,157,156,193
9904,"Hannover 96",359,144,175,210
9905,"1. FSV Mainz 05",320,178,185,170
9906,"Atlético Madrid",524,157,206,160
9908,"FC Utrecht",408,152,182,159
9910,"RC Celta de Vigo",184,169,179,169
9911,"VfL Bochum",72,164,172,172
9912,"DSC Arminia Bielefeld",29,166,165,138
9925,"Celtic",695,180,205,200
9927,"Motherwell",403,172,205,200
9930,"FC Aarau",153,156,181,150
9931,"FC Basel",619,170,186,180
9938,"Dundee United",438,171,205,200
9941,"Toulouse FC",339,158,165,140
9956,"Grasshopper Club Zürich",429,164,184,160
9976,"Bari",76,157,193,161
9984,"KSV Cercle Brugge",213,145,200,195
9985,"Standard de Liège",341,161,182,205
9986,"Sporting Charleroi",201,160,148,210
9987,"KRC Genk",348,148,182,205
9989,"Lierse SK",113,171,169,159
9991,"KAA Gent",390,142,184,166
9993,"Beerschot AC",174,110,185,210
9994,"Sporting Lokeren",279,159,154,200
9996,"Royal Excel Mouscron",42,150,150,140
9997,"Sint-Truidense VV",115,107,154,150
9998,"RAEC Mons",129,160,168,138
9999,"KSV Roeselare",62,125,125,205
10000,"SV Zulte-Waregem",306,147,153,200
10001,"KVC Westerlo",217,148,167,210
10003,"Swansea City",233,135,210,210
10167,"Parma",272,152,176,166
10172,"Queens Park Rangers",115,141,210,210
10179,"FC Sion",371,155,177,146
10189,"FC Schalke 04",426,143,195,185
10190,"FC St. Gallen",276,146,157,155
10191,"FC Thun",279,152,166,145
10192,"BSC Young Boys",529,172,202,170
10194,"Stoke City",322,150,195,153
10199,"FC Luzern",421,165,175,153
10205,"Villarreal CF",364,126,161,165
10211,"SC Beira Mar",93,94,165,155
10212,"CS Marítimo",316,182,186,144
10213,"Amadora",26,0,0,0
10214,"CD Nacional",332,167,165,156
10215,"Académica de Coimbra",240,150,172,151
10217,"ADO Den Haag",366,162,181,173
10218,"Excelsior",154,163,162,106
10219,"RKC Waalwijk",153,142,159,150
10228,"SC Heerenveen",470,150,171,183
10229,"AZ",492,154,185,184
10233,"Genoa",392,184,182,154
10235,"Feyenoord",489,154,165,160
10238,"Vitória Setúbal",238,149,165,140
10242,"ES Troyes AC",71,148,150,140
10243,"FC Zürich",468,157,165,163
10249,"Montpellier Hérault SC",344,162,160,210
10251,"Hibernian",259,148,200,200
10252,"Aston Villa",335,170,185,145
10260,"Manchester United",582,134,200,163
10261,"Newcastle United",324,152,195,161
10264,"SC Braga",398,145,166,150
10265,"Wisla Kraków",332,135,183,205
10267,"Valencia CF",484,116,185,175
10268,"Elche CF",65,171,165,158
10269,"VfB Stuttgart",415,168,200,175
10278,"Hércules Club de Fútbol",36,154,178,160
10281,"Real Valladolid",170,153,172,161
108893,"AC Arles-Avignon",21,156,141,158
158085,"FC Arouca",101,174,160,113
177361,"Termalica Bruk-Bet Nieciecza",33,0,0,0
188163,"Tondela",34,0,0,0
208931,"Carpi",37,190,160,141
274581,"Royal Excel Mouscron",71,150,150,140
